date,AAPL,AMZN,BND,GLD,JNJ,JPM,MSFT,VTI,PORTFOLIO,SPY
2024-04-30,-0.018271,-0.032935,-0.003806,-0.019937,-0.015189,-0.007968,-0.032119,-0.016458,-0.017721,-0.015841
2024-05-01,-0.024208,-0.010831,-0.000215,-0.011056,0.029696,-0.007347,-0.018173,-0.018911,-0.010829,-0.019037
2024-05-02,-0.002709,0.020778,0.003744,-0.014109,0.021114,-0.008382,-0.010963,-0.008743,-0.003386,-0.009862
2024-05-03,0.056945,0.029012,0.008834,-0.014895,0.016687,-0.014332,0.010963,0.003007,0.011374,0.002412
2024-05-06,0.047320,0.042772,0.009824,-0.004533,0.011988,-0.006623,0.028067,0.013767,0.017483,0.012763
2024-05-07,0.051297,0.043103,0.011803,-0.009113,0.012941,-0.007916,0.017626,0.014677,0.016410,0.013881
2024-05-08,0.053256,0.038904,0.009400,-0.012027,0.014508,0.012262,0.020609,0.013965,0.019379,0.013979
2024-05-09,0.063804,0.047193,0.012086,0.003562,0.020638,0.021834,0.025034,0.019939,0.027120,0.019821
2024-05-10,0.056474,0.036030,0.009258,0.011703,0.021046,0.028404,0.031050,0.020888,0.028193,0.021135
2024-05-13,0.075116,0.031001,0.010107,0.000370,0.029969,0.028197,0.028514,0.021442,0.030288,0.021272
2024-05-14,0.081753,0.033764,0.013076,0.008835,0.031059,0.042581,0.035575,0.026427,0.036885,0.025958
2024-05-15,0.094970,0.027796,0.019580,0.021787,0.039845,0.045685,0.053681,0.039047,0.047390,0.038662
2024-05-16,0.095663,0.014755,0.017883,0.017809,0.050811,0.047548,0.048476,0.036238,0.046191,0.036525
2024-05-17,0.095836,0.020667,0.015338,0.034601,0.053263,0.059551,0.046533,0.037702,0.049927,0.038015
2024-05-20,0.102588,0.014257,0.014349,0.038764,0.038638,0.011900,0.059309,0.038770,0.045056,0.039211
2024-05-21,0.110149,0.012102,0.016470,0.037238,0.038432,0.032285,0.068524,0.040907,0.050928,0.041760
2024-05-22,0.101780,0.011992,0.015197,0.018179,0.053949,0.026024,0.072210,0.037386,0.047930,0.038760
2024-05-23,0.078579,0.000497,0.012228,-0.002128,0.027858,0.018833,0.063444,0.028563,0.034914,0.031173
2024-05-24,0.096471,-0.001161,0.013359,-0.001203,0.009113,0.038441,0.071314,0.036001,0.041719,0.037996
2024-05-28,0.096529,0.006576,0.008552,0.009298,-0.008670,0.032181,0.071712,0.036001,0.040218,0.038721
2024-05-29,0.098260,0.005858,0.004875,-0.000092,-0.008258,0.024990,0.068848,0.027495,0.035736,0.031447
2024-05-30,0.104031,-0.009063,0.009258,0.001804,-0.002490,0.031302,0.032736,0.022471,0.031557,0.024605
2024-05-31,0.109572,-0.024978,0.012935,-0.004071,0.007054,0.048375,0.033881,0.030344,0.036756,0.033937
2024-06-03,0.119845,-0.014478,0.018593,0.004811,0.014400,0.044185,0.029872,0.030660,0.039699,0.034780
2024-06-04,0.121692,-0.008952,0.022423,-0.004209,0.014812,0.030422,0.036222,0.030542,0.038657,0.035937
2024-06-05,0.130465,0.001768,0.025260,0.007586,0.002247,0.020592,0.055997,0.043162,0.045230,0.048249
2024-06-06,0.122442,0.022325,0.025401,0.015034,0.005337,0.018781,0.057267,0.042252,0.045790,0.048230
2024-06-07,0.136352,0.018457,0.017175,-0.021186,0.009869,0.034510,0.055599,0.040274,0.045321,0.046955
2024-06-10,0.114593,0.033709,0.015615,-0.012212,0.010212,0.032750,0.065610,0.043755,0.045791,0.050190
2024-06-11,0.195567,0.034648,0.019728,-0.009390,0.007671,0.005588,0.077589,0.045535,0.056222,0.052719
2024-06-12,0.229735,0.032770,0.024409,-0.006754,-0.001598,-0.009054,0.098460,0.055386,0.063807,0.061365
2024-06-13,0.236487,0.015860,0.028947,-0.014849,-0.001323,0.001966,0.099755,0.055861,0.065505,0.063502
2024-06-14,0.226387,0.014920,0.030507,-0.002082,-0.000705,0.002587,0.102221,0.055070,0.065895,0.064149
2024-06-17,0.250512,0.017131,0.026677,-0.007262,0.002110,0.008795,0.116665,0.063101,0.073586,0.072619
2024-06-18,0.236776,0.010223,0.030223,-0.003284,0.000050,0.019247,0.111610,0.065791,0.073485,0.075344
2024-06-20,0.210169,0.028404,0.028238,0.009159,0.014675,0.027887,0.110016,0.063101,0.073739,0.072423
2024-06-21,0.197530,0.044872,0.028521,-0.006476,0.021335,0.015625,0.120177,0.061479,0.071065,0.070985
2024-06-24,0.201281,0.025475,0.029088,-0.002544,0.023876,0.028973,0.114922,0.059699,0.072231,0.067504
2024-06-25,0.206649,0.029730,0.029656,-0.007494,0.010624,0.024783,0.123091,0.063180,0.072824,0.071615
2024-06-26,0.230774,0.069905,0.024834,-0.016653,0.008083,0.021471,0.126105,0.063140,0.076299,0.072952
2024-06-27,0.235680,0.093336,0.026677,-0.005505,0.001080,0.030474,0.127823,0.065712,0.080885,0.074643
2024-06-28,0.215595,0.067916,0.021856,-0.005412,0.003552,0.046461,0.113129,0.062067,0.076303,0.070415
