date,AAPL,AMZN,BND,GLD,JNJ,JPM,MSFT,VTI,PORTFOLIO,SPY
2024-04-30,-0.018271,-0.032935,-0.003806,-0.019937,-0.015189,-0.007968,-0.032119,-0.016458,-0.017721,-0.015841
2024-05-01,-0.006047,0.022857,0.003605,0.009062,0.045577,0.000626,0.014409,-0.002494,0.007015,-0.003247
2024-05-02,0.022032,0.031955,0.003960,-0.003087,-0.008334,-0.001042,0.007343,0.010363,0.007525,0.009354
2024-05-03,0.059816,0.008066,0.005071,-0.000798,-0.004336,-0.006000,0.022170,0.011853,0.014811,0.012395
2024-05-06,-0.009107,0.013372,0.000981,0.010518,-0.004622,0.007821,0.016918,0.010728,0.006040,0.010327
2024-05-07,0.003797,0.000318,0.001960,-0.004600,0.000942,-0.001302,-0.010156,0.000898,-0.001054,0.001103
2024-05-08,0.001864,-0.004026,-0.002375,-0.002941,0.001547,0.020339,0.002931,-0.000702,0.002921,0.000097
2024-05-09,0.010014,0.007979,0.002662,0.015779,0.006042,0.009456,0.004336,0.005892,0.007594,0.005762
2024-05-10,-0.006890,-0.010660,-0.002795,0.008113,0.000400,0.006430,0.005869,0.000931,0.001044,0.001288
2024-05-13,0.017645,-0.004854,0.000841,-0.011202,0.008738,-0.000201,-0.002459,0.000543,0.002038,0.000134
2024-05-14,0.006174,0.002680,0.002939,0.008462,0.001058,0.013989,0.006865,0.004880,0.006403,0.004588
2024-05-15,0.012218,-0.005773,0.006420,0.012839,0.008522,0.002978,0.017484,0.012295,0.010131,0.012383
2024-05-16,0.000633,-0.012689,-0.001664,-0.003893,0.010546,0.001781,-0.004940,-0.002703,-0.001145,-0.002058
2024-05-17,0.000158,0.005827,-0.002500,0.016498,0.002334,0.011458,-0.001853,0.001413,0.003571,0.001438
2024-05-20,0.006162,-0.006280,-0.000975,0.004024,-0.013885,-0.044973,0.012208,0.001029,-0.004639,0.001152
2024-05-21,0.006857,-0.002125,0.002091,-0.001470,-0.000198,0.020145,0.008699,0.002057,0.005619,0.002453
2024-05-22,-0.007538,-0.000109,-0.001252,-0.018374,0.014943,-0.006065,0.003450,-0.003383,-0.002853,-0.002880
2024-05-23,-0.021058,-0.011358,-0.002925,-0.019945,-0.024756,-0.007009,-0.008176,-0.008504,-0.012421,-0.007304
2024-05-24,0.016588,-0.001657,0.001118,0.000927,-0.018237,0.019246,0.007401,0.007231,0.006575,0.006617
2024-05-28,0.000053,0.007745,-0.004744,0.010513,-0.017622,-0.006028,0.000372,0.000000,-0.001441,0.000699
2024-05-29,0.001579,-0.000714,-0.003646,-0.009304,0.000415,-0.006967,-0.002672,-0.008210,-0.004309,-0.007002
2024-05-30,0.005255,-0.014834,0.004362,0.001897,0.005816,0.006158,-0.033786,-0.004890,-0.004035,-0.006634
2024-05-31,0.005019,-0.016061,0.003643,-0.005864,0.009568,0.016555,0.001109,0.007700,0.005041,0.009108
2024-06-03,0.009259,0.010768,0.005586,0.008918,0.007295,-0.003997,-0.003878,0.000307,0.002838,0.000815
2024-06-04,0.001649,0.005607,0.003759,-0.008977,0.000406,-0.013180,0.006166,-0.000115,-0.001002,0.001118
2024-06-05,0.007821,0.010817,0.002775,0.011846,-0.012382,-0.009540,0.019083,0.012246,0.006328,0.011885
2024-06-06,-0.007097,0.020521,0.000138,0.007391,0.003083,-0.001774,0.001203,-0.000872,0.000536,-0.000019
2024-06-07,0.012392,-0.003784,-0.008022,-0.035683,0.004508,0.015439,-0.001578,-0.001898,-0.000448,-0.001216
2024-06-10,-0.019148,0.014976,-0.001534,0.009168,0.000340,-0.001700,0.009484,0.003346,0.000449,0.003090
2024-06-11,0.072649,0.000909,0.004049,0.002857,-0.002515,-0.026301,0.011242,0.001706,0.009975,0.002408
2024-06-12,0.028578,-0.001816,0.004590,0.002662,-0.009199,-0.014561,0.019368,0.009422,0.007181,0.008213
2024-06-13,0.005491,-0.016373,0.004430,-0.008150,0.000275,0.011121,0.001179,0.000450,0.001596,0.002013
2024-06-14,-0.008168,-0.000925,0.001516,0.012960,0.000619,0.000620,0.002242,-0.000749,0.000367,0.000608
2024-06-17,0.019671,0.002178,-0.003716,-0.005192,0.002817,0.006193,0.013105,0.007612,0.007216,0.007959
2024-06-18,-0.010984,-0.006791,0.003454,0.004007,-0.002055,0.010360,-0.004527,0.002531,-0.000094,0.002541
2024-06-20,-0.021513,0.017997,-0.001927,0.012484,0.014624,0.008477,-0.001434,-0.002524,0.000236,-0.002717
2024-06-21,-0.010444,0.016013,0.000276,-0.015493,0.006564,-0.011929,0.009154,-0.001526,-0.002490,-0.001340
2024-06-24,0.003132,-0.018564,0.000551,0.003958,0.002487,0.013143,-0.004691,-0.001677,0.001088,-0.003251
2024-06-25,0.004468,0.004149,0.000551,-0.004962,-0.012943,-0.004073,0.007327,0.003285,0.000553,0.003851
2024-06-26,0.019993,0.039015,-0.004683,-0.009228,-0.002514,-0.003231,0.002683,-0.000037,0.003240,0.001248
2024-06-27,0.003986,0.021900,0.001799,0.011337,-0.006947,0.008813,0.001526,0.002419,0.004260,0.001577
2024-06-28,-0.016254,-0.023250,-0.004696,0.000093,0.002469,0.015514,-0.013029,-0.003420,-0.004239,-0.003935
2024-07-01,0.029105,0.020440,-0.005277,0.002605,0.001916,0.015772,0.021882,0.002018,0.011332,0.002058
2024-07-02,0.016240,0.014199,0.002939,-0.000046,-0.002800,0.016452,0.005583,0.005783,0.007679,0.006730
2024-07-03,0.005811,-0.012050,0.005721,0.011273,-0.002328,-0.000670,0.003244,0.004117,0.003088,0.004463
2024-07-05,0.021620,0.012197,0.004579,0.013487,0.005422,-0.013251,0.014736,0.005208,0.007595,0.005766
2024-07-08,0.006539,-0.003550,0.000000,-0.012402,-0.006827,0.001856,-0.002823,0.001360,-0.000788,0.001154
2024-07-09,0.003775,0.000251,-0.000414,0.001696,0.010792,0.011990,-0.014370,-0.000257,0.001236,0.000972
2024-07-10,0.018804,0.002257,0.000829,0.003660,0.016185,0.000819,0.014602,0.009691,0.009492,0.009895
2024-07-11,-0.023221,-0.023725,0.004970,0.017733,0.001807,-0.001684,-0.024772,-0.004472,-0.007309,-0.008623
2024-07-12,0.013051,-0.002871,0.002610,-0.000627,0.001202,-0.012099,-0.002529,0.006610,0.001653,0.006308
2024-07-15,0.016743,-0.009101,-0.003151,0.003227,-0.004270,0.024934,0.000904,0.004281,0.006546,0.002750
2024-07-16,0.001792,0.001557,0.003849,0.019926,0.011860,0.016996,-0.009781,0.008237,0.006626,0.005930
2024-07-17,-0.025296,-0.026370,0.000958,-0.004643,0.036885,0.015214,-0.013348,-0.014117,-0.005282,-0.014021
2024-07-18,-0.020535,-0.022242,-0.002599,-0.006381,-0.007408,-0.031770,-0.007102,-0.008722,-0.013328,-0.007685
2024-07-19,0.000580,-0.003374,-0.002606,-0.017938,-0.004697,-0.000953,-0.007403,-0.006233,-0.005156,-0.006641
2024-07-22,-0.001560,-0.003167,-0.000413,0.000316,-0.002909,0.002383,0.013337,0.010440,0.004157,0.010310
2024-07-23,0.004688,0.021145,0.000138,0.003517,-0.012254,0.000238,0.004312,-0.000730,0.001393,-0.001569
2024-07-24,-0.028754,-0.029934,-0.002889,-0.003504,0.025796,-0.008273,-0.035855,-0.022507,-0.015863,-0.022662
2024-07-25,-0.004805,-0.005419,0.002207,-0.015645,0.021500,0.000383,-0.024481,-0.003850,-0.004817,-0.005211
2024-07-26,0.002161,0.014734,0.003992,0.010535,0.006264,0.017108,0.016420,0.011970,0.010633,0.011200
2024-07-29,0.001285,0.003836,0.001234,-0.001405,-0.012948,-0.006549,0.003433,0.000074,-0.001249,0.000588
2024-07-30,0.002566,-0.008133,0.001233,0.009985,0.017470,0.020583,-0.008928,-0.004153,0.003307,-0.005067
2024-07-31,0.014991,0.029002,0.005470,0.018111,-0.021571,-0.011106,-0.010806,0.014818,0.004240,0.016255
2024-08-01,-0.016751,-0.015563,0.003738,-0.003443,0.018435,-0.022744,-0.002964,-0.015666,-0.009054,-0.014161
2024-08-02,0.006869,-0.087847,0.011418,-0.001905,0.021025,-0.042412,-0.020666,-0.020127,-0.014061,-0.018618
2024-08-05,-0.048167,-0.040977,-0.000941,-0.012692,-0.017607,-0.021292,-0.032657,-0.029365,-0.027053,-0.029124
2024-08-06,-0.009748,0.005651,-0.006187,-0.008001,-0.014139,0.027912,0.011287,0.010150,0.004234,0.009220
2024-08-07,0.012498,0.005187,-0.002437,-0.000680,-0.000440,0.000299,-0.002953,-0.007642,-0.000376,-0.006684
2024-08-08,0.016633,0.018615,-0.001493,0.015688,0.008307,0.018263,0.010692,0.023417,0.015334,0.023117
2024-08-09,0.013736,0.006876,0.003533,0.002455,0.002496,0.008527,0.008269,0.004317,0.006655,0.004410
2024-08-12,0.007130,-0.000839,0.001761,0.017145,-0.004607,0.001895,0.001946,-0.000647,0.002845,0.000525
2024-08-13,0.017193,0.020564,0.003785,-0.001532,-0.009320,0.008487,0.017699,0.016632,0.010699,0.016445
2024-08-14,0.002034,-0.000764,0.001886,-0.008156,0.000568,0.011061,0.006884,0.002846,0.002974,0.003155
2024-08-15,0.013531,0.044033,-0.004167,0.003139,0.003849,0.006231,0.011824,0.017321,0.011137,0.017140
2024-08-16,0.005918,-0.002984,0.002160,0.022388,0.001886,0.011439,-0.006080,0.002385,0.004597,0.002242
2024-08-19,-0.000708,0.006551,0.001212,-0.001638,0.001506,0.006917,0.007312,0.009444,0.004591,0.009561
2024-08-20,0.002745,0.003703,0.002959,0.003670,0.003320,-0.004316,0.007757,-0.002430,0.001437,-0.001626
2024-08-21,-0.000486,0.006876,0.002146,-0.001334,0.007929,0.000373,-0.001554,0.005017,0.002035,0.003437
2024-08-22,-0.008260,-0.022098,-0.004015,-0.011975,0.005699,0.009460,-0.020253,-0.008464,-0.006898,-0.007849
2024-08-23,0.010288,0.005167,0.004434,0.011553,0.010964,0.007755,0.002984,0.012659,0.008886,0.010625
2024-08-26,0.001499,-0.008699,-0.001069,0.003189,0.002925,0.003939,-0.007918,-0.002522,-0.000882,-0.002384
2024-08-27,0.003742,-0.013561,0.000000,0.002707,-0.002571,0.004608,0.000847,0.000903,0.000998,0.001373
2024-08-28,-0.006753,-0.013401,-0.000670,-0.007027,0.005953,0.005041,-0.007829,-0.006098,-0.003730,-0.005805
2024-08-29,0.014570,0.007728,-0.001474,0.005178,0.001891,0.004158,0.006137,0.000980,0.004871,0.000090
2024-08-30,-0.003438,0.037067,-0.002013,-0.007126,0.009925,0.011656,0.009731,0.009648,0.006572,0.009546
2024-09-03,-0.027205,-0.012605,0.004262,-0.004324,0.007838,-0.020018,-0.018459,-0.021517,-0.014838,-0.020579
2024-09-04,-0.008619,-0.016567,0.004432,0.000608,0.001197,-0.004403,-0.001319,-0.002239,-0.002886,-0.002047
2024-09-05,0.006928,0.026308,0.002407,0.008332,-0.014161,-0.007751,-0.001247,-0.003091,-0.000071,-0.002432
2024-09-06,-0.007015,-0.036539,0.001201,-0.007403,-0.003697,-0.023756,-0.016381,-0.016609,-0.013435,-0.016830
2024-09-09,0.000408,0.023397,0.001332,0.004206,0.013566,0.020474,0.010007,0.010697,0.009809,0.011196
2024-09-10,-0.003621,0.023660,0.003327,0.004404,0.004621,-0.051889,0.020901,0.003899,-0.001752,0.004356
2024-09-11,0.011585,0.027680,-0.000530,-0.001591,-0.015295,0.008124,0.021342,0.009950,0.008116,0.010259
2024-09-12,0.000494,0.013440,-0.001062,0.017567,-0.001092,-0.003040,0.009361,0.008314,0.005119,0.008423
2024-09-13,-0.001212,-0.002727,0.002125,0.009944,0.005345,-0.011036,0.008407,0.006974,0.002656,0.005223
2024-09-16,-0.027775,-0.008580,0.002651,-0.000084,0.008881,0.017326,0.001742,0.001984,-0.000453,0.001477
2024-09-17,0.002173,0.010763,-0.001322,-0.005531,0.000479,0.006687,0.008833,0.001008,0.002706,0.000409
2024-09-18,0.017990,-0.002408,-0.003045,-0.007710,-0.005507,-0.008220,-0.009974,-0.002518,-0.002068,-0.002966
2024-09-19,0.037065,0.018452,0.000000,0.015541,-0.008005,0.014215,0.018291,0.016946,0.016098,0.017064
2024-09-20,-0.002927,0.009112,-0.000133,0.012711,-0.004004,0.002898,-0.007796,-0.002092,-0.000435,-0.001729
2024-09-23,-0.007581,0.011900,-0.000664,0.001940,-0.005726,0.001658,-0.004043,0.002487,-0.000793,0.002499
2024-09-24,0.003974,0.000413,0.001196,0.013969,-0.002696,0.000710,-0.010011,0.002516,0.001067,0.002861
2024-09-25,-0.004398,-0.007373,-0.003716,-0.001382,-0.013392,-0.006616,0.006850,-0.003288,-0.003396,-0.002206
2024-09-26,0.005080,-0.007116,0.000000,0.005087,0.004919,-0.001951,-0.001851,0.004469,0.001930,0.003965
2024-09-27,0.001186,-0.016688,0.002931,-0.007936,0.000062,0.003432,-0.007628,-0.000988,-0.001942,-0.001450
2024-09-30,0.022872,-0.008725,-0.002258,-0.007999,0.004089,0.001710,0.005327,0.003936,0.004529,0.004007
2024-10-01,-0.029142,-0.006440,0.002951,0.010491,-0.000432,-0.018116,-0.022333,-0.009112,-0.011618,-0.008959
2024-10-02,0.002520,-0.001999,-0.001864,0.000204,-0.005062,0.001207,-0.008462,0.000214,-0.001319,0.000422
2024-10-03,-0.004895,-0.015155,-0.004402,-0.000692,-0.004157,-0.009938,-0.001414,-0.002138,-0.004381,-0.001828
2024-10-04,0.005007,0.025005,-0.006565,-0.001996,-0.001309,0.035494,-0.001152,0.009677,0.008225,0.009087
